Year,Cultural Background,Infant deaths
2005,ATSI,9
2005,Other,76
2006,ATSI,7
2006,Other,56
2007,ATSI,10
2007,Other,68
2008,ATSI,6
2008,Other,58
2009,ATSI,4
2009,Other,65
2010,ATSI,7
2010,Other,64
2011,ATSI,9
2011,Other,49
2012,ATSI,9
2012,Other,47
2013,ATSI,11
2013,Other,52
2014,ATSI,7
2014,Other,48
2015,ATSI,9
2015,Other,44
2016,ATSI,2
2016,Other,56
2017,ATSI,7
2017,Other,55
2018,ATSI,4
2018,Other,54
2019,ATSI,4
2019,Other,36
2020,ATSI,4
2020,Other,30
2005,Total,85
2006,Total,63
2007,Total,78
2008,Total,64
2009,Total,69
2010,Total,71
2011,Total,58
2012,Total,56
2013,Total,63
2014,Total,55
2015,Total,53
2016,Total,58
2017,Total,62
2018,Total,58
2019,Total,40
2020,Total,34
